,File,Mask,TS_Data,date,extent,obs
42,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144.cf_cvg.tif,1,3/1/16,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
43,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144//SVDNB_npp_20160301-20160331_75N060W_vcmcfg_v10_c201604191144.cf_cvg.tif,0,3/1/16,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
44,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941.cf_cvg.tif,1,9/1/16,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
45,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941//SVDNB_npp_20160901-20160930_75N060W_vcmcfg_v10_c201610280941.cf_cvg.tif,0,9/1/16,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
46,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250.cf_cvg.tif,1,3/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
47,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250//SVDNB_npp_20130301-20130331_75N060W_vcmcfg_v10_c201605131250.cf_cvg.tif,0,3/1/13,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
48,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230.cf_cvg.tif,1,7/1/17,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
49,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230//SVDNB_npp_20170701-20170731_75N060W_vcmcfg_v10_c201708061230.cf_cvg.tif,0,7/1/17,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
50,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.avg_rade9.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.cf_cvg.tif,1,2/1/17,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",0
51,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.cf_cvg.tif,/NPPVIIRS/Unzipped/75N60W//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030//SVDNB_npp_20170201-20170228_75N060W_vcmcfg_v10_c201703012030.cf_cvg.tif,0,2/1/17,"[-60.00208333335, 75.00208333335, 59.99791762665001, 0.0020827333499937595]",1
